,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
97,Dominique Morrison\dominique-morrison-1,2010,2012,Oral Roberts,Summit,98,3484,35.6,6.0,12.6,4.6,9.1,1.4,3.6,4.8,5.9,1.1,3.7,4.8,2.1,0.8,0.4,1.7,2.8,18.2
98,Adrian Oliver\adrian-oliver-2,2010,2011,San Jose State,WAC,62,2205,35.6,7.7,17.7,5.7,12.9,2.0,4.8,6.0,7.0,1.4,3.9,5.3,2.7,0.9,0.4,3.1,2.9,23.3
99,Joe Rahon\joe-rahon-1,2013,2017,Total,Total,134,4773,35.6,3.4,8.1,2.1,4.4,1.3,3.7,1.4,2.1,0.4,3.3,3.7,4.5,1.0,0.3,1.9,1.9,9.5
100,John Roberson\john-roberson-1,2010,2011,Texas Tech,Big 12,65,2317,35.6,4.2,10.4,1.9,4.8,2.3,5.6,3.6,4.4,0.3,1.8,2.1,5.0,1.1,0.1,3.1,2.7,14.3
101,Cameron Wells\cameron-wells-1,2010,2011,Citadel,Southern,64,2276,35.6,6.1,14.5,5.6,12.3,0.6,2.2,4.4,5.2,0.9,4.5,5.4,4.2,1.5,0.4,2.3,2.1,17.2
102,Dee Bost\dee-bost-1,2010,2012,Mississippi State,SEC,86,3055,35.5,4.5,11.5,2.4,5.3,2.1,6.2,3.3,4.5,0.5,3.3,3.8,5.5,1.6,0.2,3.2,2.1,14.5
103,Langston Galloway\langston-galloway-1,2011,2014,Saint Joseph's,A-10,133,4720,35.5,4.9,11.3,2.4,5.2,2.6,6.1,2.5,3.1,1.0,3.5,4.5,2.2,1.3,0.5,1.2,2.5,15.0
104,Tu Holloway\terrell-holloway-1,2010,2012,Xavier,A-10,101,3590,35.5,4.5,10.6,3.0,6.4,1.4,4.2,6.0,7.0,0.4,3.2,3.6,4.7,1.4,0.1,2.8,2.0,16.3
105,Xavier Munford\xavier-munford-1,2013,2014,Rhode Island,A-10,61,2166,35.5,5.8,14.5,3.6,8.1,2.1,6.4,3.5,4.9,0.5,3.0,3.4,2.2,1.1,0.4,2.7,2.2,17.1
106,Jonathan Stark\jonathan-stark-1,2014,2018,Total,Total,130,4621,35.5,5.8,13.6,3.5,7.7,2.3,5.8,3.4,4.2,0.4,2.5,2.9,4.4,1.2,0.1,2.6,2.0,17.2
107,Kyle Vinales\kyle-vinales-1,2012,2014,Central Connecticut State,NEC,79,2802,35.5,6.6,16.5,3.9,9.6,2.6,6.9,3.4,4.2,0.3,1.6,1.9,3.7,1.3,0.1,3.2,2.0,19.2
108,Ryan Daly\ryan-daly-1,2017,2018,Delaware,CAA,60,2121,35.4,6.1,14.3,4.3,8.8,1.8,5.5,2.6,4.0,1.8,5.1,6.9,2.2,1.0,0.2,1.2,2.1,16.7
109,Broderick Gilchrest\broderick-gilchrest-1,2010,2011,Idaho State,Big Sky,56,1983,35.4,5.3,12.3,3.7,7.5,1.6,4.8,2.9,4.3,0.5,2.1,2.6,2.7,1.5,0.1,2.8,2.3,15.2
110,Andrew Goudelock\andrew-goudelock-1,2010,2011,College of Charleston,Southern,71,2512,35.4,8.0,17.6,4.8,9.6,3.2,8.0,2.4,2.9,0.7,3.4,4.1,4.1,1.0,0.3,2.6,1.7,21.6
111,Ben Hansbrough\ben-hansbrough-1,2010,2011,Notre Dame,Big East,69,2443,35.4,4.7,10.0,2.4,4.7,2.2,5.2,3.5,4.5,0.8,3.1,3.9,4.3,1.1,0.1,2.1,2.5,15.1
