,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
62,1988,NBA,2,48,DET,Micheal Williams\willimi02,21.346,G,us,Baylor University,1989,1999,413,25.2,11.0,2.5,5.8,1.7,0.2,.464,.481,.227,.868,28.5,.132
63,1992,NBA,2,42,MIA,Matt Geiger\geigema01,22.293,C,us,Georgia Institute of Technology,1993,2002,552,22.1,9.2,5.7,0.7,0.6,0.6,.499,.504,.232,.728,28.4,.112
64,1995,NBA,2,52,IND,Fred Hoiberg\hoibefr01,22.261,G,us,Iowa State University,1996,2005,541,18.4,5.4,2.7,1.6,0.8,0.1,.431,.456,.396,.854,27.6,.133
65,1988,NBA,2,47,DEN,Vernon Maxwell\maxweve01,22.295,G,us,University of Florida,1989,2001,855,28.4,12.8,2.6,3.4,1.1,0.2,.398,.450,.320,.733,27.4,.054
66,1990,NBA,2,40,SAC,Bimbo Coles\colesbi01,22.071,G,us,Virginia Polytechnic Institute and State University,1991,2004,852,23.8,7.8,2.1,3.9,0.9,0.2,.425,.455,.267,.811,27.4,.065
67,1991,NBA,2,45,MIL,Bobby Phills\phillbo01,21.193,G,us,Southern University and A&M College,1992,2000,467,28.7,11.0,3.1,2.7,1.3,0.3,.443,.456,.390,.738,27.2,.097
68,2014,NBA,2,41,DEN,Nikola Jokic\jokicni01,19.132,C-F,rs,,2016,2018,228,27.3,14.9,9.1,4.4,1.0,0.7,.530,.572,.366,.832,27.1,.209
69,1996,NBA,2,44,CHH,Malik Rose\rosema01,21.221,F,us,Drexel University,1997,2009,813,16.5,6.2,4.1,0.8,0.6,0.4,.437,.442,.177,.743,26.5,.095
70,2008,NBA,2,37,MIL,Luc Mbah a Moute\mbahalu01,21.296,F,cm,University of California Los Angeles,2009,2018,682,23.4,6.4,4.1,0.9,0.9,0.4,.455,.478,.336,.661,25.9,.078
71,2003,NBA,2,49,IND,James Jones\jonesja02,22.270,F-G,us,University of Miami,2004,2017,709,15.7,5.2,1.8,0.5,0.3,0.3,.401,.402,.401,.840,25.2,.109
72,2004,NBA,2,38,CHI,Chris Duhon\duhonch01,21.303,G,us,Duke University,2005,2013,606,25.6,6.5,2.3,4.4,0.8,0.1,.393,.426,.363,.784,25.0,.077
73,2006,NBA,2,35,TOR,P.J. Tucker\tuckepj01,21.059,F,us,University of Texas at Austin,2007,2018,500,27.8,7.4,5.7,1.5,1.2,0.3,.426,.471,.356,.748,25.0,.086
74,2012,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M University,2013,2018,378,31.8,15.1,4.1,3.0,1.4,0.2,.454,.484,.391,.877,24.9,.099
75,1986,NBA,2,33,SAS,Kevin Duckworth\duckwke01,22.082,C,us,Eastern Illinois University,1987,1997,684,25.5,11.8,5.8,0.9,0.5,0.5,.468,.469,.208,.736,24.7,.068
76,2000,NBA,2,38,HOU,Eduardo Najera\najered01,23.358,F,mx,University of Oklahoma,2001,2012,619,18.1,4.9,3.7,0.8,0.7,0.4,.481,.509,.311,.671,24.7,.106
